Pattern,Value,KICH-Support,KIRC-Support,KIRP-Support
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'REG1B.5968=M'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'ODAM.54959=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'SLC39A5.283375=EL', 'PLEKHJ1.55111=EH', 'UNC5CL.222643=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.018867924528301886,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'PROS1.5627=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'FUT6.2528=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'SLC22A11.55867=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'UNC5CL.222643=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'RNASE4.6038=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'HNF4A.3172=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'NXNL2.158046=EL', 'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'NGEF.25791=EL', 'SLC10A2.6555=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.018867924528301886,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'RDH5.5959=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'SLC23A1.9963=EL', 'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'UGT2A3.79799=EL', 'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'SLC39A5.283375=EL', 'BAIAP2L2.80115=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'HAVCR1.26762=EL'})",0.9895833333333334,1.0,0.020754716981132074,0.010416666666666666
"frozenset({'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'GLB1L.79411=EL', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.020754716981132074,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'ENKUR.219670=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'C4orf47.441054=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'ANXA13.312=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'GBA3.57733=EL', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'SLC39A5.283375=EL', 'REG3G.130120=L', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL', 'FAM58A.92002=EH'})",0.9895833333333334,1.0,0.01509433962264151,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'TRIM10.10107=EL', 'SLC39A5.283375=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
"frozenset({'MTMR11.10903=EL', 'SLC39A5.283375=EL', 'BAIAP2L2.80115=EL', 'EVI5L.115704=EH', 'LOC100129034.100129034=EL'})",0.9895833333333334,1.0,0.016981132075471698,0.010416666666666666
