Pattern,Size,supportT,supportN,GrowthRatio
frozenset({'OTUD1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'PTPN21_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'FHL1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'FHL1_L'}),1,0.40350877192982454,0.0,inf
frozenset({'EPAS1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'ADRB2_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'ADRB2_L'}),1,0.40350877192982454,0.0,inf
frozenset({'SH2D3C_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'EDNRB_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'DENND3_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'CAV1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'CAV1_L'}),1,0.40350877192982454,0.0,inf
frozenset({'NECAB1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'NECAB1_L'}),1,0.40350877192982454,0.0,inf
frozenset({'TEK_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'TEK_L'}),1,0.40350877192982454,0.0,inf
frozenset({'PRX_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'RAMP3_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'TAL1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'HSPA12B_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'FABP4_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'FABP4_L'}),1,0.40350877192982454,0.0,inf
frozenset({'CLEC3B_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'CLEC3B_L'}),1,0.40350877192982454,0.0,inf
frozenset({'USHBP1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'LDB2_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'JPH4_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'FMO2_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'SGEF_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'CALCRL_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'FAM189A2_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'FAM189A2_L'}),1,0.40350877192982454,0.0,inf
frozenset({'S1PR1_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'SEMA3G_EL'}),1,0.40350877192982454,0.0,inf
frozenset({'PALM2-AKAP2_EL'}),1,0.40350877192982454,0.0,inf
