Pattern,Value,Size,Basal-Support,Her2-Support,Luma-Support,Lumb-Support
"frozenset({'CSN2_EH', 'PSAPL1_H', 'FAM150A_EH', 'MAGEB4_H', 'RLBP1_H'})",0.9333333333333333,5,0.0,0.6333333333333333,0.9333333333333333,0.7333333333333333
"frozenset({'CARD18_EH', 'CSN2_EH', 'UCN3_EH', 'MAGEB4_H', 'RLBP1_H'})",0.9333333333333333,5,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'HAO1_H', 'RLBP1_H', 'CSN2_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.03333333333333333,0.7666666666666667,0.9666666666666667,0.8333333333333334
"frozenset({'PSAPL1_H', 'CARD18_EH', 'RLBP1_H', 'MAGEB4_H'})",0.9333333333333333,4,0.0,0.6333333333333333,0.9333333333333333,0.7333333333333333
"frozenset({'HAO1_H', 'RLBP1_H', 'UCN3_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.03333333333333333,0.7666666666666667,0.9666666666666667,0.8333333333333334
"frozenset({'CARD18_EH', 'RLBP1_H', 'UCN3_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'RLBP1_H', 'CSN2_EH', 'UCN3_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'CARD18_EH', 'RLBP1_H', 'FAM150A_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'HAO1_H', 'CARD18_EH', 'RLBP1_H', 'MAGEB4_H'})",0.9333333333333333,4,0.03333333333333333,0.7666666666666667,0.9666666666666667,0.8333333333333334
"frozenset({'CARD18_EH', 'RLBP1_H', 'CSN2_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'RLBP1_H', 'CSN2_EH', 'FAM150A_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'PSAPL1_H', 'RLBP1_H', 'UCN3_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.0,0.6333333333333333,0.9333333333333333,0.7333333333333333
"frozenset({'UCN3_EH', 'RLBP1_H', 'FAM150A_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'PSAPL1_H', 'RLBP1_H', 'FAM150A_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.0,0.6333333333333333,0.9333333333333333,0.7333333333333333
"frozenset({'PSAPL1_H', 'RLBP1_H', 'CSN2_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.0,0.6333333333333333,0.9333333333333333,0.7333333333333333
"frozenset({'HAO1_H', 'RLBP1_H', 'FAM150A_EH', 'MAGEB4_H'})",0.9333333333333333,4,0.03333333333333333,0.7666666666666667,0.9666666666666667,0.8333333333333334
"frozenset({'RLBP1_H', 'CSN2_EH', 'MAGEB4_H'})",0.9333333333333333,3,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'PSAPL1_H', 'RLBP1_H', 'MAGEB4_H'})",0.9333333333333333,3,0.0,0.6333333333333333,0.9333333333333333,0.7333333333333333
"frozenset({'RLBP1_H', 'FAM150A_EH', 'MAGEB4_H'})",0.9333333333333333,3,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'CARD18_EH', 'RLBP1_H', 'MAGEB4_H'})",0.9333333333333333,3,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'RLBP1_H', 'UCN3_EH', 'MAGEB4_H'})",0.9333333333333333,3,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'HAO1_H', 'RLBP1_H', 'MAGEB4_H'})",0.9333333333333333,3,0.03333333333333333,0.7666666666666667,0.9666666666666667,0.8333333333333334
"frozenset({'RLBP1_H', 'MAGEB4_H'})",0.9333333333333333,2,0.06666666666666667,0.8333333333333334,1.0,0.8666666666666667
"frozenset({'CARD18_EH', 'CSN2_EH', 'PSAPL1_H', 'UCN3_EH', 'FAM150A_EH', 'MAGEB4_H', 'KRT20_H', 'RLBP1_H'})",0.9,8,0.0,0.3333333333333333,0.9,0.6333333333333333
"frozenset({'CARD18_EH', 'CSN2_EH', 'PSAPL1_H', 'UCN3_EH', 'FAM150A_EH', 'MAGEB4_H', 'HAO1_H', 'RLBP1_H'})",0.9,8,0.0,0.6,0.9,0.7
"frozenset({'CARD18_EH', 'CSN2_EH', 'PSAPL1_H', 'UCN3_EH', 'FAM150A_EH', 'RGR_H', 'MAGEB4_H', 'RLBP1_H'})",0.9,8,0.0,0.6333333333333333,0.9,0.7333333333333333
"frozenset({'CARD18_EH', 'CSN2_EH', 'UCN3_EH', 'FAM150A_EH', 'MAGEB4_H', 'HAO1_H', 'KRT20_H', 'RLBP1_H'})",0.9,8,0.03333333333333333,0.4,0.9333333333333333,0.7
"frozenset({'CARD18_EH', 'CSN2_EH', 'UCN3_EH', 'FAM150A_EH', 'RGR_H', 'MAGEB4_H', 'HAO1_H', 'RLBP1_H'})",0.9,8,0.03333333333333333,0.7666666666666667,0.9333333333333333,0.8333333333333334
"frozenset({'CSN2_EH', 'PSAPL1_H', 'UCN3_EH', 'FAM150A_EH', 'MAGEB4_H', 'HAO1_H', 'RLBP1_H'})",0.9,7,0.0,0.6,0.9,0.7
"frozenset({'CSN2_EH', 'PSAPL1_H', 'UCN3_EH', 'FAM150A_EH', 'RGR_H', 'MAGEB4_H', 'RLBP1_H'})",0.9,7,0.0,0.6333333333333333,0.9,0.7333333333333333
"frozenset({'CARD18_EH', 'CSN2_EH', 'FAM150A_EH', 'RGR_H', 'MAGEB4_H', 'HAO1_H', 'RLBP1_H'})",0.9,7,0.03333333333333333,0.7666666666666667,0.9333333333333333,0.8333333333333334
"frozenset({'CARD18_EH', 'CSN2_EH', 'PSAPL1_H', 'UCN3_EH', 'MAGEB4_H', 'KRT20_H', 'RLBP1_H'})",0.9,7,0.0,0.3333333333333333,0.9,0.6333333333333333
"frozenset({'CARD18_EH', 'PSAPL1_H', 'UCN3_EH', 'FAM150A_EH', 'MAGEB4_H', 'KRT20_H', 'RLBP1_H'})",0.9,7,0.0,0.3333333333333333,0.9,0.6333333333333333
"frozenset({'CARD18_EH', 'CSN2_EH', 'UCN3_EH', 'RGR_H', 'MAGEB4_H', 'HAO1_H', 'RLBP1_H'})",0.9,7,0.03333333333333333,0.7666666666666667,0.9333333333333333,0.8333333333333334
"frozenset({'CARD18_EH', 'UCN3_EH', 'FAM150A_EH', 'RGR_H', 'MAGEB4_H', 'HAO1_H', 'RLBP1_H'})",0.9,7,0.03333333333333333,0.7666666666666667,0.9333333333333333,0.8333333333333334
"frozenset({'CARD18_EH', 'CSN2_EH', 'PSAPL1_H', 'FAM150A_EH', 'MAGEB4_H', 'KRT20_H', 'RLBP1_H'})",0.9,7,0.0,0.3333333333333333,0.9,0.6333333333333333
"frozenset({'CARD18_EH', 'CSN2_EH', 'UCN3_EH', 'MAGEB4_H', 'HAO1_H', 'KRT20_H', 'RLBP1_H'})",0.9,7,0.03333333333333333,0.4,0.9333333333333333,0.7
