FOXC1,ROPN1,RGMA,CA6,TTYH1,SCRG1,SFRS13B,CSN3,RABEP1,TMCC2,C6orf97,ERBB2,CCNE1,SLC39A6,SOX8,RLBP1,RGR,LOC93432,OLAH,HORMAD1,CCKBR,FAM171A1,B3GNT5,MIA,NCAN,EPHB1,KDM4B,FZD9,FSIP1,HAO1,GRB7,ROPN1B,HAPLN3,HRCT1,NCRNA00092,PTCHD1,SMR3B,TLE3,APH1B,FSCN1,GPR77,STARD3,CHRDL2,CRYAB,C1orf94,NRTN,MATN4,SLC25A18,STC2,TBC1D9,C6orf211,CMTM5,CA12,CLCN4,ACBD4,CSN2,C11orf75,MAGEB4,C2orf88,XBP1,EVL,FAM19A3,MLPH,TTLL4,CARD18,C10orf90,CAMKV,PGR,FAM150A,PRSS33,FOXA1,GFRA3,CLDN6,ANKRA2,C9orf170,MID1,PAPL,FAM150B,LEMD1,UCN3,YBX1,PSAPL1,SPHKAP,LOXL4,MOG,IL34,ATP6V1C2,WWP1,CTXN3,KCNK5,GPM6B,KRT20,PARD6B,TTC8,DLX6,TPRG1,CELSR1,IFRD1,NAT1,KIAA1370
H,H,M,EH,EH,EH,M,EH,H,L,H,L,M,EH,H,H,EH,EH,H,L,EH,M,M,H,L,H,H,L,H,H,L,H,L,EH,H,H,EH,H,H,M,H,L,EH,M,H,M,M,M,H,H,M,EH,EH,L,M,EH,M,H,H,H,EH,EH,H,L,EH,EH,H,EH,EH,H,M,M,L,M,M,H,L,EH,M,EH,M,H,EH,H,H,M,H,H,H,M,H,H,M,M,H,EH,M,EL,EH,H
EL,M,EL,H,H,L,L,H,EH,L,EH,M,L,H,M,H,H,EH,M,M,M,L,L,EL,M,L,H,EL,H,EH,L,M,L,M,M,M,H,H,EH,EL,EH,L,H,M,H,M,L,M,EH,H,EH,H,EH,L,EH,EH,EL,H,EL,EH,H,H,EH,EL,EH,H,M,EH,EH,H,H,EL,M,H,M,L,M,H,H,EH,L,H,M,L,EH,EL,M,EH,H,H,M,H,EH,EH,M,M,H,L,H,EH
H,M,M,H,L,L,EL,H,EH,M,H,M,EL,EH,H,H,H,H,M,L,H,M,M,M,EH,M,EH,M,H,H,EL,L,M,L,M,M,H,EH,EH,H,EH,M,L,M,H,L,L,H,H,EH,H,H,H,M,H,EH,M,H,L,EH,H,EL,H,EL,EH,M,M,H,EH,M,H,M,L,H,H,M,L,L,M,EH,L,H,H,M,H,M,EL,H,H,H,M,H,EH,H,H,EH,EH,EL,EH,H
M,EL,L,H,L,H,L,H,EH,L,H,M,EL,EH,H,H,H,EH,M,H,H,M,M,M,H,M,H,EL,EH,H,L,L,L,L,M,L,H,H,H,M,EH,M,H,M,H,L,L,L,H,H,M,H,EH,M,H,EH,L,H,L,EH,H,L,H,H,EH,H,M,EH,EH,H,EH,L,M,M,H,L,L,L,M,EH,H,H,H,L,H,L,M,H,H,H,H,H,M,EH,H,EH,H,L,EH,EH
L,M,EL,H,M,L,M,H,EH,H,H,M,EL,EH,H,H,H,H,H,L,H,L,L,L,EH,H,EH,L,M,H,M,H,L,L,M,M,H,H,EH,L,EH,M,M,L,H,L,L,L,EH,EH,EH,M,EH,L,EH,EH,EL,H,L,H,H,EH,H,EL,EH,H,M,EH,EH,M,H,L,L,EH,M,L,L,L,M,EH,EL,H,H,L,H,EL,EL,EH,H,H,L,H,EH,H,H,H,H,L,H,H
EL,EL,EL,H,L,M,H,H,H,EL,EH,H,EL,EH,M,H,H,H,M,M,M,EL,L,EL,L,L,H,L,EH,H,H,L,EL,L,L,EL,H,H,EH,EL,EH,M,M,H,H,EL,L,L,H,H,H,H,EH,EL,EH,EH,M,H,EL,EH,M,H,H,L,EH,L,M,H,EH,M,EH,EL,L,H,L,EL,L,H,M,EH,EL,H,M,L,H,M,EL,H,EH,L,EL,H,EH,EH,L,H,M,L,H,H
EL,M,EL,H,EL,H,EL,H,H,L,H,L,EL,M,EL,H,H,H,M,L,M,H,EL,L,L,EL,M,L,H,H,EL,H,EL,L,L,EL,H,M,H,EL,H,L,EL,EL,H,L,L,M,M,H,M,M,M,L,H,EH,EL,H,EL,EH,H,EL,H,EL,EH,EL,M,H,EH,M,H,EL,L,L,L,M,L,L,M,EH,L,H,M,EL,H,EL,EL,L,H,EL,EL,H,M,H,L,M,M,EL,L,M
EL,M,EL,H,EL,EL,EL,H,M,EL,H,L,EL,H,EL,H,H,H,M,L,H,EL,EL,EL,M,EL,M,EL,M,H,EL,M,EL,EL,L,EL,H,L,M,EL,H,EL,EL,EL,H,M,L,L,H,M,H,M,H,EL,M,EH,EL,H,EL,M,M,EL,M,EL,EH,EL,M,EH,EH,M,M,EL,L,M,L,EL,L,L,M,EH,EL,H,M,EL,EH,EL,EL,M,H,L,EL,H,H,M,M,M,H,EL,H,H
L,M,L,H,EL,L,L,H,H,L,EH,L,EL,H,M,H,H,H,M,L,M,L,EL,L,H,EL,EH,EL,H,H,L,L,EL,M,L,L,H,H,EH,EL,EH,EL,EL,EL,H,EL,M,L,H,H,H,M,H,EL,H,EH,EL,H,L,H,EH,H,EH,EL,EH,L,M,EH,EH,M,H,L,L,EH,L,EL,M,M,M,EH,EL,H,M,EL,H,EL,EL,H,H,H,L,H,H,EH,M,H,H,L,EH,EH
EL,EL,EL,H,L,L,M,H,M,EL,H,M,EL,H,EL,H,H,H,M,H,M,EL,EL,EL,L,L,H,M,EH,H,H,L,EL,L,L,EL,H,H,M,L,H,L,H,EL,H,EL,L,M,M,H,M,M,H,EL,H,EH,EL,H,EL,EH,EH,H,H,L,EH,M,M,H,EH,M,M,EL,H,H,M,EL,H,M,M,EH,L,H,M,L,H,EL,M,H,EH,L,M,H,H,H,L,H,EH,M,H,EH
M,H,H,H,H,EL,H,EH,EH,M,EH,H,EL,H,H,H,H,H,M,L,EH,M,EL,EH,H,L,EH,M,M,H,H,H,H,M,L,EL,EH,EH,EH,M,H,H,M,H,H,L,L,H,EH,M,H,H,EH,M,EH,EH,M,H,M,EH,EH,M,EH,EL,EH,EH,M,EH,EH,M,EH,M,L,EH,L,M,H,L,M,EH,M,H,EH,H,H,H,M,EH,H,M,M,H,M,EH,M,H,EH,M,EH,EH
