"","items","support","count"
"45","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,NAT8.9027=EL}",1,66
"46","{EVI5L.115704=EH,LOC100129034.100129034=EL,PDZD3.79849=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"47","{EVI5L.115704=EH,LOC100129034.100129034=EL,PROS1.5627=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"48","{EVI5L.115704=EH,LOC100129034.100129034=EL,KBTBD11.9920=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"49","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,SLC17A3.10786=EL}",1,66
"50","{EVI5L.115704=EH,LOC100129034.100129034=EL,ODAM.54959=EH,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"51","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,SLC23A1.9963=EL}",1,66
"52","{EVI5L.115704=EH,LOC100129034.100129034=EL,UGT2A3.79799=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"53","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,PRAP1.118471=EL}",1,66
"54","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,REG1B.5968=M}",1,66
"55","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,CAPN12.147968=EL}",1,66
"56","{EVI5L.115704=EH,LOC100129034.100129034=EL,TMEM176A.55365=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"57","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,LGALS2.3957=EL}",1,66
"58","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,BBOX1.8424=EL}",1,66
"59","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,SLC6A13.6540=EL}",1,66
"60","{EVI5L.115704=EH,LOC100129034.100129034=EL,CLRN3.119467=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"61","{EVI5L.115704=EH,LOC100129034.100129034=EL,PDZK1IP1.10158=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"62","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,SLC5A10.125206=EL}",1,66
"63","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,BAIAP2L2.80115=EL}",1,66
"64","{EVI5L.115704=EH,LOC100129034.100129034=EL,ANG.283=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"65","{EVI5L.115704=EH,LOC100129034.100129034=EL,C14orf73.91828=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"66","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,ANXA13.312=EL}",1,66
"67","{EVI5L.115704=EH,LOC100129034.100129034=EL,FUT6.2528=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"68","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC28A1.9154=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"69","{EVI5L.115704=EH,LOC100129034.100129034=EL,C8orf22.492307=M,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"70","{EVI5L.115704=EH,LOC100129034.100129034=EL,ACSM2A.123876=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"71","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,TM4SF5.9032=EL}",1,66
"72","{EVI5L.115704=EH,LOC100129034.100129034=EL,METTL7B.196410=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"73","{EVI5L.115704=EH,LOC100129034.100129034=EL,RDH5.5959=EL,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"74","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,SLC10A2.6555=EL}",1,66
"75","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,SLC16A9.220963=EL}",1,66
"76","{EVI5L.115704=EH,LOC100129034.100129034=EL,C8orf71.26138=EH,SLC39A5.283375=EL,GLB1L.79411=EL}",1,66
"77","{EVI5L.115704=EH,LOC100129034.100129034=EL,SLC39A5.283375=EL,GLB1L.79411=EL,DPYS.1807=EL}",1,66
